ticker,n_days,total_volume,total_trades,last_close
A,1,1308897,24391,134.07
AA,1,4825422,45891,27.71
AAA,1,6593,44,25.09
AAAU,1,1445875,1645,20.13
AACG,1,15145,162,1.18
AACI,1,31351,103,10.94
AACIW,1,3999,6,0.025
AACT,1,315230,169,10.51
AACT.WS,1,44812,1,0.18
AADI,1,196146,1921,1.77
AADR,1,1444,26,56.1
AAGR,1,44347,332,0.92
AAGRW,1,18098,39,0.0232
AAL,1,27998162,75511,14.95
AAMC,1,1659,57,4.5
AAME,1,7646,82,2.51
AAN,1,326024,4393,10.45
AAOI,1,3351110,22967,18.89
AAON,1,782372,14849,78.67
AAP,1,1172318,21158,64.14
AAPB,1,31561,380,21.64
AAPD,1,120064,811,20.72
AAPL,1,38219218,521417,188.32
AAPU,1,118360,1054,26.24
AAPX,1,5379,93,25.28
AAPY,1,30,22,25.9761
AAT,1,234290,4312,22.18
AAU,1,135339,154,0.135
AAXJ,1,673723,4230,64.8
AB,1,426301,5771,32.9
ABAT,1,711475,6904,2.36
ABBV,1,5246598,76358,174.79
ABCB,1,326657,6487,47.32
ABCL,1,892750,7573,5.02
ABCS,1,296,37,25.0697
ABEO,1,377279,2405,5.28
ABEQ,1,2984,14,28.5715
ABEV,1,8647503,12992,2.56
ABG,1,335233,9138,206.79
ABIO,1,51005,258,1.65
ABL,1,55787,859,12.35
ABLLL,1,4073,23,25.548
ABLLW,1,204966,265,0.79
ABLV,1,57836,204,2.8
ABM,1,736351,8236,40.38
ABNB,1,3493147,60753,150.54
ABOS,1,384100,3569,3.02
ABR,1,5200815,33895,12.12
ABRpD,1,12298,115,17.4
ABRpE,1,7834,91,17.57
ABRpF,1,31650,318,18.08
ABSI,1,789251,5665,4.11
ABT,1,6462513,69262,112.43
ABTS,1,58434,132,0.9701
ABUS,1,4323042,11935,2.54
ABVC,1,311695,1854,1.3
ABVX,1,57327,614,12.77
AC,1,6463,161,32.76
ACA,1,145360,3716,82.57
ACAC,1,8142,62,11.11
ACAD,1,999941,14943,25.68
ACAH,1,201,3,10.6728
ACB,1,8565505,11064,0.408
ACCD,1,357114,6409,13.31
ACCO,1,297045,2894,6.32
ACDC,1,675754,7803,7.33
ACEL,1,267587,2391,10.21
ACES,1,28039,298,30.4241
ACET,1,1654579,7153,3.38
ACGL,1,1861764,31203,82.76
ACGLN,1,21807,281,20.49
ACGLO,1,11975,220,23.56
ACHC,1,359693,8997,80.23
ACHL,1,567490,598,0.94
ACHR,1,3605970,18142,5.18
ACHR.WS,1,11761,49,0.94
ACHV,1,13024,193,4.37
ACI,1,3667734,18726,21.35
ACIC,1,279645,4782,11.4
ACIO,1,66598,176,34.58
ACIU,1,217527,1051,2.83
ACIW,1,976012,11116,29.73
ACLS,1,2532829,47213,122.25
ACLX,1,428315,9476,61.56
ACM,1,914490,18013,88.49
