ticker,ex_date,ex_ym,cash_amount,n_distributions,frequency,pay_date,record_date,declaration_date,prev_close,ex_open,ex_close,pre_avg_ret,pre_avg_abn_ret,pre_vol,pre_avg_volume,pre_avg_dollar_volume,post_avg_ret,post_avg_abn_ret,post_close,mkt_prev_close,mkt_ex_open,n_bars,n_bars_pre,n_bars_post,max_span_days,drop_ratio,drop_pct,div_yield,capture_ret,mkt_overnight_ret,capture_ret_abn,hold_ret,has_core,window_complete,window_contiguous,drop_ratio_extreme,low_yield
AGMpE,2026-07-01,2026-07,0.359375,1,4,2026-07-17,2026-07-01,2026-05-13,,21.05,20.66,,,,,,0.004074816839780985,0.0031876756260565964,20.9128,,745.0,4,0,3,6,,,,,,,,false,false,true,,
AHD,2026-07-01,2026-07,0.60712,1,12,2026-07-06,2026-07-01,2026-06-30,,25.375,25.49,,,,,,7.88594030098011E-4,-9.854718362637775E-5,25.5503,,745.0,4,0,3,6,,,,,,,,false,false,true,,
AUB,2026-08-07,2026-08,0.37,1,4,2026-08-21,2026-08-07,2026-07-23,42.44,41.9,41.78,1.2498214403183772E-4,-0.007044427014918864,0.013276157587871965,888395.5826224001,3.8063280640260234E7,,,,768.56,771.02,6,5,0,7,1.4594594594594572,0.012723845428840697,0.008718190386427899,-0.004005655042412798,0.00320079108983038,-0.007206446132243178,,true,false,true,false,false
AWF,2026-08-06,2026-08,0.0655,1,12,2026-08-21,2026-08-06,2026-07-27,10.16,10.07,10.11,0.0012381144332702099,-0.008130697691124483,0.0032689329134683847,244167.62924739998,2472628.5165086198,0.0,-0.006115332570001186,,769.79,770.21,7,5,1,7,1.3740458015267154,0.008858267716535419,0.006446850393700788,-0.0024114173228346313,5.456033463672856E-4,-0.002957020669201917,,true,false,true,false,false
BETH,2026-07-01,2026-07,0.043941,1,12,2026-07-08,2026-07-01,2026-01-15,,32.55,32.9367,,,,,,0.02261999254626416,0.02173285133253977,35.2097,,745.0,4,0,3,6,,,,,,,,false,false,true,,
BETH,2026-08-03,2026-08,0.03455,1,12,2026-08-07,2026-08-03,2026-01-15,34.8822,34.68,35.3092,-0.008405346924834023,-0.011148575562684476,0.020508378020267413,572.676008,20357.36358867,0.0032800314078326918,-0.00153149106384128,35.6542,747.03,749.44,9,5,3,7,5.85238784370471,0.00579665273405914,9.904765181095228E-4,-0.004806176215949617,0.0032261087238800073,-0.008032284939829624,0.023122108123914364,true,true,true,false,true
BIOY,2026-07-31,2026-07,0.23954,1,52,2026-08-04,2026-07-31,2026-07-30,21.637,20.985,20.955,0.003916650528814597,0.0029192329370600345,0.01078894764427696,2123.4985232,45654.820343407,0.004909711184121497,-0.00518211381831409,21.265,741.69,744.68,9,5,3,7,2.721883610252989,0.030133567500115588,0.011070850857327726,-0.019062716642787865,0.004031333845676624,-0.02309405048846449,-0.006121920783842487,true,true,true,false,false
BKU,2026-07-10,2026-07,0.33,1,4,2026-07-31,2026-07-10,2026-06-24,48.23,48.06,48.23,-0.0015995888181176976,-0.003937423771858045,0.020306890948324028,844627.2384890001,4.101701731869191E7,9.854014603802492E-4,0.001032694186047382,48.37,751.71,752.05,9,5,3,8,0.5151515151514988,0.003524777109682658,0.006842214389384201,0.003317437279701543,4.523020845803809E-4,0.0028651351951211623,0.009744972009122966,true,true,true,false,false
BNDP,2026-07-01,2026-07,0.2703,1,12,2026-07-06,2026-07-01,2026-01-27,,73.85,73.91,,,,,,-0.0012172381752002155,-0.0021043793889246043,73.64,,745.0,4,0,3,6,,,,,,,,false,false,true,,
BTX,2026-07-15,2026-07,0.0525,1,12,2026-07-31,2026-07-15,2026-06-05,8.53,8.48,8.38,0.0037698200058084164,0.0016023484592880832,0.02422596822924308,645814.3760446,5503239.929192202,-0.011944658286014617,-0.006301261139684322,8.08,751.83,754.24,9,5,3,7,0.9523809523809321,0.005861664712778304,0.006154747948417351,2.9308323563904617E-4,0.0032055118843355122,-0.0029124286486964662,-0.04660023446658843,true,true,true,false,false
