dimension,source_column,bucket_column,bucket_label,bucket_number,lower_bound_exclusive,upper_bound_inclusive,sample_min,sample_max,requested_bucket_count,actual_bucket_count,n_events
liquidity,pre_avg_dollar_volume,pre_avg_dollar_volume_bucket,Q01,1,,174803.9535,0.0,65865061153.465775,5,5,32260
liquidity,pre_avg_dollar_volume,pre_avg_dollar_volume_bucket,Q02,2,174803.9535,755622.1540000001,0.0,65865061153.465775,5,5,32259
liquidity,pre_avg_dollar_volume,pre_avg_dollar_volume_bucket,Q03,3,755622.1540000001,2858794.47748,0.0,65865061153.465775,5,5,32259
liquidity,pre_avg_dollar_volume,pre_avg_dollar_volume_bucket,Q04,4,2858794.47748,20175039.824,0.0,65865061153.465775,5,5,32259
liquidity,pre_avg_dollar_volume,pre_avg_dollar_volume_bucket,Q05,5,20175039.824,,0.0,65865061153.465775,5,5,32259
volatility,pre_vol,pre_vol_bucket,Q01,1,,0.002619594209920665,0.0,88.63294315941977,5,5,32164
volatility,pre_vol,pre_vol_bucket,Q02,2,0.002619594209920665,0.005581407819437302,0.0,88.63294315941977,5,5,32164
volatility,pre_vol,pre_vol_bucket,Q03,3,0.005581407819437302,0.009539552188923791,0.0,88.63294315941977,5,5,32164
volatility,pre_vol,pre_vol_bucket,Q04,4,0.009539552188923791,0.016361490318552538,0.0,88.63294315941977,5,5,32164
volatility,pre_vol,pre_vol_bucket,Q05,5,0.016361490318552538,,0.0,88.63294315941977,5,5,32163
yield,div_yield,div_yield_bucket,Q01,1,,0.002895669291338583,4.0184850311432593e-07,0.9984103422053232,5,5,32260
yield,div_yield,div_yield_bucket,Q02,2,0.002895669291338583,0.00433284298544441,4.0184850311432593e-07,0.9984103422053232,5,5,32259
yield,div_yield,div_yield_bucket,Q03,3,0.00433284298544441,0.006630278209292473,4.0184850311432593e-07,0.9984103422053232,5,5,32259
yield,div_yield,div_yield_bucket,Q04,4,0.006630278209292473,0.01144524236983842,4.0184850311432593e-07,0.9984103422053232,5,5,32259
yield,div_yield,div_yield_bucket,Q05,5,0.01144524236983842,,4.0184850311432593e-07,0.9984103422053232,5,5,32259
