pseudo_sector,label_level,n_events,n_tickers,n_capture_ret_abn,n_capture_ret,n_drop_ratio,event_share_of_analysis,ticker_share_of_analysis,mean_capture_ret_abn,stddev_capture_ret_abn,se_capture_ret_abn,ci95_low_capture_ret_abn,ci95_high_capture_ret_abn,median_capture_ret_abn,p25_capture_ret_abn,p75_capture_ret_abn,positive_capture_ret_abn_rate,mean_capture_ret,median_capture_ret,mean_drop_ratio,median_drop_ratio,p25_drop_ratio,p75_drop_ratio,drop_ratio_lt_1_rate,low_n_flag,low_ticker_flag,report_eligible_flag
SIC 67,hybrid,1571,62,1571,1571,1571,0.23325909428359318,0.1341991341991342,0.002433043481234956,0.03838011186401108,0.0009683183092305396,0.0005351395951430984,0.004330947367326814,0.001068983897195524,-0.0030690537084397777,0.005717406941898829,0.5684277530235519,0.0024776651683849397,0.0014705882352941068,0.8265165539448449,0.8924999999999961,0.4424778761061984,1.200000000000002,0.5907065563335455,False,False,True
SIC 60,hybrid,787,45,787,787,787,0.11685226429101707,0.09740259740259741,0.003767460951492297,0.013661750097769909,0.00048698879720919985,0.0028129629089622653,0.004721958994022329,0.0028941630171087813,-0.00333459298978396,0.00949558698144964,0.6073697585768743,0.003958007881078961,0.003533403196622608,-0.005088548551532093,0.7058823529411753,0.0,1.3409090909090906,0.6378653113087674,False,False,True
SIC 73,hybrid,540,72,540,540,540,0.0801781737193764,0.15584415584415584,0.004562354212407689,0.03295576984598095,0.0014181905308325421,0.0017827007719759063,0.007342007652839471,0.0016364878620532747,-0.003741170864496694,0.008421975703668856,0.5796296296296296,0.004751208799727254,0.002234309623431087,1.0986555548740846,0.8781979378315651,0.28571428571428686,1.3265306122449096,0.5888888888888889,False,False,True
SIC 65,hybrid,462,19,462,462,462,0.06859688195991091,0.04112554112554113,0.0013753474883459555,0.0163534603755142,0.0007608318332396506,-0.00011588290480375957,0.0028665778814956707,0.0006068802599767612,-0.0036040433562902555,0.004870754275773661,0.5324675324675324,0.0018053981156009999,0.0007639419404125071,0.8692655662323964,0.9393939393939355,0.4264901566071764,1.3239187996469424,0.5627705627705628,False,False,True
SIC 62,hybrid,436,14,436,436,436,0.06473645137342242,0.030303030303030304,0.0013027506739337878,0.006629676553875122,0.00031750392329079865,0.0006804429842838225,0.001925058363583753,0.0005814555757366738,-0.002138001882725566,0.004217876500112554,0.5596330275229358,0.0021544429764167147,0.0011402508551881093,0.756952940686595,0.8750000000000036,0.3809523809523728,1.1951219512195128,0.6307339449541285,False,False,True
Transportation & Public Utilities (other),hybrid,415,30,415,415,415,0.06161841128433556,0.06493506493506493,0.0030796563815072534,0.02341753737902748,0.0011495216992749525,0.0008265938509283465,0.00533271891208616,0.0009034750216478618,-0.003927302197194881,0.007212983143088209,0.5518072289156627,0.003412435122903344,0.0022338049143707807,0.7270877739653687,0.8447204968944095,0.3048780487804878,1.3636363636363669,0.5879518072289157,False,False,True
Manufacturing (other),hybrid,411,36,411,411,411,0.06102449888641425,0.07792207792207792,0.0012079051928901366,0.013101300647312533,0.0006462395032044063,-5.872423339049965e-05,0.002474534619170773,0.0010055530507757258,-0.004724636840367178,0.008488247365196665,0.5523114355231143,0.0012912544684938205,0.0013101529051987647,0.7997904990635856,0.9193548387096802,0.11462631820265282,1.5384615384615057,0.5571776155717761,False,False,True
SIC 49,hybrid,340,25,340,340,340,0.050482553823311065,0.05411255411255411,0.0008837348265953668,0.014251839132809606,0.0007729144969595569,-0.0006311775874453648,0.002398647240636098,0.0007800287009139485,-0.0033484754723486863,0.006441262926486313,0.5529411764705883,0.002037390711709588,0.002021018593371088,1.0419900097185681,0.8275862068965504,0.23328512107497285,1.250000000000005,0.6029411764705882,False,False,True
Mining (other),hybrid,305,24,305,305,305,0.04528582034149963,0.05194805194805195,0.0015568007656397635,0.015439349002390704,0.00088405455216594,-0.00017594615660547898,0.003289547687885006,0.00206346829773837,-0.006190789387431403,0.00944829582274958,0.5770491803278689,0.0012016888960546639,0.002199223803363585,1.1398601935466708,0.6428571428571418,-1.100000000000012,2.16666666666667,0.5836065573770491,False,False,True
SIC 28,hybrid,272,31,272,272,272,0.040386043058648846,0.0670995670995671,0.004387293947492606,0.01852712946676499,0.0011233722313377273,0.0021854843740706604,0.006589103520914551,0.0020465931863726528,-0.004780973283806345,0.009718606892425135,0.5845588235294118,0.004046445318403418,0.0024630541871921686,0.9286998694863349,0.8228571428571415,0.3555198004213432,1.335356600910469,0.5992647058823529,False,False,True
SIC 48,hybrid,188,12,188,188,188,0.02791388270230141,0.025974025974025976,0.0014770530941449012,0.010890006091615759,0.0007942353229827763,-7.964813890134039e-05,0.0030337543271911427,0.0019287234109024792,-0.004431513305151795,0.006605071900230547,0.5904255319148937,0.002098619507788217,0.002579936160510761,1.01104950701369,0.8019821622283264,0.5395912841291459,1.1516758168987529,0.6329787234042553,False,False,True
SIC 63,hybrid,177,11,177,177,177,0.026280623608017816,0.023809523809523808,0.0016669726809098791,0.008567413365069668,0.0006439662226112966,0.0004047988845917378,0.0029291464772280206,0.0011665261987444725,-0.0016818423677594807,0.004041898257992921,0.6384180790960452,0.0018803128017617634,0.0013452914798206589,0.9131805354349949,0.9333333333333331,0.68888888888889,1.1111111111111112,0.6101694915254238,False,False,True
SIC 36,hybrid,168,19,168,168,168,0.024944320712694878,0.04112554112554113,0.0030381643883577885,0.019153334068904085,0.0014777118048874824,0.0001418492507783229,0.005934479525937254,0.0012882651558876728,-0.003007992831239305,0.010410180496385207,0.6130952380952381,0.0038684333419937702,0.003467153284671524,0.7483129635759047,0.7931034482758635,0.0,1.162763656659146,0.6309523809523809,False,False,True
SIC 13,hybrid,159,9,159,159,159,0.023608017817371936,0.01948051948051948,-0.0017597184076849827,0.023846912719326555,0.0018911831946544105,-0.005466437469207627,0.0019470006538376617,0.0008286574539944221,-0.008421080556187547,0.010364897889145568,0.5031446540880503,-2.6009604497647137e-05,0.0016706083390293379,0.7425936603871457,0.8857142857142821,0.018348623853207357,1.4393939393939355,0.5849056603773585,False,False,True
SIC 20,hybrid,124,10,124,124,124,0.018411284335560506,0.021645021645021644,0.004509452305897039,0.013463519075197357,0.0012090597049220332,0.002139695284249854,0.006879209327544224,0.0032757340125904007,-0.0035039188566159314,0.00941779239477673,0.6048387096774194,0.00506630679286906,0.003407639758624687,0.4976748378635715,0.7647058823529457,0.28865090015510964,1.1000000000000032,0.6370967741935484,False,False,True
