dataset,column,data_type,required
grain,capture_ret,double,True
grain,capture_ret_abn,double,True
grain,cash_amount,double,True
grain,declaration_date,string,False
grain,distribution_types,array<string>,False
grain,div_yield,double,True
grain,drop_pct,double,True
grain,drop_ratio,double,True
grain,drop_ratio_extreme,boolean,False
grain,ex_close,double,False
grain,ex_date,date,True
grain,ex_open,double,True
grain,ex_ym,string,False
grain,frequency,bigint,False
grain,has_core,boolean,True
grain,hold_ret,double,False
grain,low_yield,boolean,False
grain,max_span_days,int,False
grain,mkt_ex_open,double,False
grain,mkt_overnight_ret,double,True
grain,mkt_prev_close,double,False
grain,n_bars,bigint,True
grain,n_bars_post,bigint,False
grain,n_bars_pre,bigint,False
grain,n_distributions,bigint,False
grain,pay_date,string,False
grain,post_avg_abn_ret,double,False
grain,post_avg_ret,double,False
grain,post_close,double,False
grain,pre_avg_abn_ret,double,True
grain,pre_avg_dollar_volume,double,True
grain,pre_avg_ret,double,True
grain,pre_avg_volume,double,False
grain,pre_vol,double,True
grain,prev_close,double,True
grain,record_date,string,False
grain,ticker,string,True
grain,window_complete,boolean,False
grain,window_contiguous,boolean,True
metadata,active,boolean,True
metadata,address,"struct<address1:string,address2:string,city:string,postal_code:string,state:string>",False
metadata,description,string,False
metadata,last_updated_utc,string,False
metadata,list_date,string,True
metadata,locale,string,False
metadata,market,string,False
metadata,market_cap,double,False
metadata,overview_error,string,False
metadata,sic_description,string,True
metadata,ticker,string,True
metadata,total_employees,bigint,False
metadata,type,string,False
metadata,weighted_shares_outstanding,bigint,False
panel,abn_ret_cc,double,True
panel,bar_date,date,True
panel,cash_amount,double,False
panel,close,double,False
panel,declaration_date,string,False
panel,distribution_types,array<string>,False
panel,dollar_volume,double,False
panel,ex_date,date,True
panel,ex_idx,int,False
panel,ex_ym,string,False
panel,frequency,bigint,False
panel,high,double,False
panel,low,double,False
panel,mkt_close,double,False
panel,mkt_open,double,False
panel,mkt_ret_cc,double,False
panel,n_distributions,bigint,False
panel,offset,int,True
panel,open,double,False
panel,pay_date,string,False
panel,prev_bar_close,double,False
panel,prev_mkt_close,double,False
panel,record_date,string,False
panel,ret_cc,double,False
panel,span_days,int,False
panel,target_idx,int,False
panel,ticker,string,True
panel,transactions,bigint,False
panel,volume,double,False
pseudo_sector,label_level,string,True
pseudo_sector,pseudo_sector,string,True
pseudo_sector,sec_type,string,False
pseudo_sector,ticker,string,True
