sic_description,n_events,n_tickers,n_capture_ret_abn,n_capture_ret,n_drop_ratio,event_share_of_analysis,ticker_share_of_analysis,mean_capture_ret_abn,stddev_capture_ret_abn,se_capture_ret_abn,ci95_low_capture_ret_abn,ci95_high_capture_ret_abn,median_capture_ret_abn,p25_capture_ret_abn,p75_capture_ret_abn,positive_capture_ret_abn_rate,mean_capture_ret,median_capture_ret,mean_drop_ratio,median_drop_ratio,p25_drop_ratio,p75_drop_ratio,drop_ratio_lt_1_rate,low_n_flag,low_ticker_flag,report_eligible_flag
UNKNOWN,123173,6805,123173,123173,123173,0.7636457196706676,0.7552719200887902,0.0008989433743940678,0.012010403451106625,3.422156265322636e-05,0.0008318691115937441,0.0009660176371943914,0.0004920490433177509,-0.0030303390519683037,0.004305292014710737,0.5397530302907293,0.0011860020190052223,0.0006464485235435919,0.44148220916409825,0.8815498840274,0.3059663437022044,1.357636706473878,0.5870848319030957,False,False,True
REAL ESTATE INVESTMENT TRUSTS,5949,302,5949,5949,5949,0.0368825017359389,0.033518312985571584,0.0020084577321829336,0.011593042963433591,0.00015030570358609882,0.00171385855315418,0.002303056911211687,0.0017041715081851302,-0.002775606507406191,0.006389752667808547,0.6058161035468146,0.002847675159010912,0.0026455026455027286,0.8147849096949278,0.8228759514503258,0.45772874994278495,1.1333333333333369,0.6564128424945369,False,False,True
STATE COMMERCIAL BANKS,3170,184,3170,3170,3170,0.019653308203551236,0.02042175360710322,0.00187677651730008,0.014631981298372149,0.00025988038786855486,0.0013674109570777125,0.0023861420775224476,0.001414988255646345,-0.003209196554873143,0.0061593374728686045,0.5788643533123028,0.002305355211367625,0.0019743336623888946,0.7601674866041247,0.7741935483871032,0.0980392156862968,1.3793103448275814,0.6201892744479496,False,False,True
NATIONAL COMMERCIAL BANKS,2630,149,2630,2630,2630,0.016305426049003074,0.01653718091009989,0.0019165428929194643,0.009030547436686813,0.00017609061248305684,0.0015714052924526729,0.0022616804933862557,0.0016271415150387108,-0.0022546971650516242,0.00583606416568616,0.6136882129277567,0.002200555965425328,0.002245508982035972,0.8131787924413993,0.8118386369229293,0.4761904761904745,1.1487160372544674,0.6600760456273764,False,False,True
INVESTMENT ADVICE,2352,107,2352,2352,2352,0.01458188671758754,0.011875693673695894,0.0007357935668289581,0.00805296495497604,0.0001660493387332157,0.0004103368629118554,0.001061250270746061,0.0004652244863183277,-0.0031567323848870933,0.004222482643970886,0.5416666666666666,0.0014002289252906246,0.0010947030497591838,-1.1053636492517265,0.8084210526315777,0.0,1.456027955736719,0.5931122448979592,False,False,True
"FIRE, MARINE & CASUALTY INSURANCE",896,52,896,896,896,0.005555004463842873,0.0057713651498335185,0.0008908482607551314,0.007043825996788939,0.00023531771046460406,0.0004296255482445075,0.0013520709732657552,0.0008387068570767063,-0.0028038986698452426,0.004951886101788686,0.5714285714285714,0.0014266111715443605,0.0015669887699138677,0.8221244535454261,0.8156862745098089,0.3478260869565143,1.259842519685046,0.6294642857142857,False,False,True
CRUDE PETROLEUM & NATURAL GAS,738,43,738,738,738,0.004575438944549152,0.004772475027746948,0.001244674158939481,0.014543004119841975,0.0005353353795556433,0.00019541681501042017,0.002293931502868542,0.0018279336688430507,-0.0055090450337253105,0.008879543005126498,0.5826558265582655,0.0022596046785002943,0.0025316455696202203,0.8321734856313496,0.7745098039215608,0.0,1.3438504236050273,0.5989159891598916,False,False,True
"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",654,35,654,654,654,0.004054657276063882,0.00388457269700333,0.00044945922551048364,0.012862884141604997,0.0005029785722060131,-0.0005363787760133019,0.0014352972270342693,0.0011712220178898432,-0.0018962852664574327,0.004511474983359734,0.6009174311926605,0.0003625012031732265,0.0018979754928076492,1.008785012410639,0.8533322624850036,0.5579478023420735,1.212171504075689,0.6513761467889908,False,False,True
ELECTRIC SERVICES,548,33,548,548,548,0.0033974804086896143,0.003662597114317425,0.001508650404594101,0.014315830603947234,0.0006115419751529141,0.00031002813329438937,0.0027072726758938124,0.0010846506634336305,-0.0026700555607272114,0.0057517332739710865,0.5766423357664233,0.0011033503876166644,0.0012810773480662109,1.023949720506649,0.8636363636363532,0.47940074906367086,1.2130177514792904,0.6094890510948905,False,False,True
"SAVINGS INSTITUTION, FEDERALLY CHARTERED",469,25,469,469,469,0.002907697649042754,0.002774694783573807,0.0011784264943177916,0.011840880857897676,0.0005467610765414279,0.00010677478429659275,0.00225007820433899,0.0008120347028346235,-0.0037417295493884727,0.005845366067046139,0.5373134328358209,0.001557237348925362,0.0013192277150929528,0.7106886219605227,0.8750000000000036,0.19999999999999574,1.4079182630906624,0.582089552238806,False,False,True
