ticker,ex_date,cash_amount,prev_close,open,volume,drop_ratio
AAPL,2024-02-09,0.24,188.32,188.65,43571220,-1.3750000000000522
ACV,2024-02-09,0.18,22.9,22.8,28213,0.5555555555555437
ADX,2024-02-08,0.05,18.8,18.77,165012,0.6000000000000227
AEP,2024-02-08,0.88,77.33,76.12,3255024,1.374999999999993
AESC,2024-02-13,1.7188,67.1399,62.98,385077,2.420235047707703
AIO,2024-02-09,0.15,19.79,19.74,150624,0.3333333333333381
AIRTP,2024-02-13,0.5,19.4999,18.06,5037,2.879800000000003
AMLP,2024-02-08,0.88,44.01,43.12,1876564,1.011363636363637
AMP,2024-02-08,1.35,391.36,389.94,289821,1.0518518518518636
AMTB,2024-02-13,0.09,23.03,22.19,119743,9.333333333333332
ARMK,2024-02-13,0.095,31.0,30.81,2197094,2.0000000000000133
AROW,2024-02-09,0.27,24.25,24.1,52515,0.5555555555555503
AUB,2024-02-08,0.32,33.36,32.93,304010,1.3437499999999991
BAH,2024-02-09,0.51,144.62,144.9,721439,-0.5490196078431395
BFH,2024-02-08,0.21,34.63,34.21,423772,2.000000000000008
BFIN,2024-02-08,0.1,10.3,10.2275,15943,0.7250000000000156
BKDT,2024-02-13,0.875,83.09,80.53,383,2.9257142857142884
BKR,2024-02-12,0.21,29.06,28.98,7897884,0.3809523809523728
BNJ,2024-02-08,0.28125,16.44,16.37,10811,0.2488888888888899
BOKF,2024-02-13,0.55,84.16,80.71,171348,6.272727272727278
BPRN,2024-02-08,0.3,31.23,31.25,10952,-0.06666666666666525
BRKL,2024-02-08,0.135,9.84,9.66,449569,1.333333333333331
BRW,2024-02-08,0.085,7.5,7.43,213734,0.8235294117647092
BWFG,2024-02-12,0.2,25.94,25.86,10489,0.40000000000000924
CBH,2024-02-09,0.046,8.75,8.72,150832,0.6521739130434644
CCD,2024-02-09,0.195,21.31,21.41,63334,-0.5128205128205201
CDC,2024-02-09,0.10534,55.3,55.22,57376,0.7594456047085465
CDL,2024-02-09,0.109134,57.74,57.6,23946,1.282826616819695
CEFD,2024-02-09,0.1621,19.345,19.17,3923,1.0795805058605623
CEV,2024-02-12,0.0434,10.78,10.74,20221,0.9216589861750956
CFA,2024-02-09,0.044391,76.09,76.0001,8664,2.025185285305582
CFO,2024-02-09,0.036141,61.63,61.59,19473,1.106776237514157
CGO,2024-02-09,0.08,9.69,9.62,18584,0.8750000000000036
CHI,2024-02-09,0.095,11.03,10.94,157326,0.9473684210526301
CHW,2024-02-09,0.05,6.14,6.08,155106,1.1999999999999922
CHY,2024-02-09,0.1,11.93,11.85,89986,0.8000000000000007
CIF,2024-02-13,0.01484,1.74,1.72,48590,1.3477088948787073
CIL,2024-02-09,0.009046,40.9863,41.075,2,-9.80543886800828
CIVB,2024-02-12,0.16,15.97,16.06,29304,-0.562499999999988
CLB,2024-02-09,0.01,14.87,14.8,364841,6.999999999999851
CMCO,2024-02-08,0.07,41.56,41.65,286783,-1.2857142857142327
CMS,2024-02-09,0.515,56.27,55.73,1541958,1.0485436893204005
CMU,2024-02-13,0.0125,3.3,3.27,63833,2.3999999999999844
COF,2024-02-09,0.6,135.38,135.11,1330327,0.4499999999999697
COR,2024-02-08,0.51,237.67,233.5,2722377,8.176470588235269
CPZ,2024-02-09,0.14,15.29,15.22,45975,0.4999999999999893
CSA,2024-02-09,0.021475,64.7333,64.54,1829,9.0011641443536
CSB,2024-02-09,0.106613,52.87,52.92,18037,-0.4689859585604407
CSF,2024-02-09,0.027117,48.05,48.05,3221,0.0
CSQ,2024-02-09,0.1025,15.77,15.67,196145,0.9756097560975575
CWBC,2024-02-08,0.08,14.09,13.89,8615,2.499999999999991
CWT,2024-02-09,0.28,46.66,46.36,349334,1.0714285714285612
CXE,2024-02-13,0.014,3.62,3.58,56330,2.8571428571428594
CXH,2024-02-13,0.0235,7.621,7.56,67750,2.5957446808510993
CZWI,2024-02-08,0.32,11.98,11.75,4608,0.7187500000000013
DALN,2024-02-08,0.16,4.6,4.25,121628,2.187499999999998
DCI,2024-02-09,0.25,67.05,66.71,222973,1.3600000000000136
DIVY,2024-02-13,0.039,25.8484,25.61,7303,6.112820512820568
DLB,2024-02-12,0.3,80.58,80.27,331893,1.033333333333341
DMF,2024-02-13,0.015,6.675,6.61,32043,4.3333333333333
DOC,2024-02-13,0.3,11.75,11.38,2609363,1.2333333333333307
DSM,2024-02-13,0.018,5.85,5.78,182646,3.8888888888888555
EAD,2024-02-12,0.0517,6.76,6.72,135972,0.7736943907156679
EBMT,2024-02-08,0.14,12.96,12.76,7491,1.4285714285714362
EBTC,2024-02-08,0.24,27.01,26.76,16607,1.0416666666666667
ECC,2024-02-08,0.02,10.09,9.93,986374,8.000000000000007
ECC,2024-02-08,0.14,10.09,9.93,986374,1.1428571428571437
ECCC,2024-02-08,0.135417,22.07,21.98,1903,0.6646137486430792
ECCF,2024-02-08,0.140625,25.54,25.35,12069,1.351111111111095
ED,2024-02-13,0.83,89.45,88.46,3412746,1.1927710843373605
EDF,2024-02-09,0.06,4.72,4.65,243927,1.1666666666666567
EIC,2024-02-08,0.2,15.98,15.66,97992,1.6000000000000014
EICA,2024-02-08,0.104167,23.46,23.44,8249,0.191999385601962
EICB,2024-02-08,0.161459,25.18,25.02,656,0.9909636502146065
ENFR,2024-02-08,0.34292,22.84,22.52,14287,0.9331622535868432
ERC,2024-02-12,0.06521,9.53,9.49,42307,0.6134028523232502
ERH,2024-02-12,0.06428,8.83,8.82,10713,0.15556938394523626
ETR,2024-02-08,1.13,98.76,97.22,1218292,1.3628318584070853
EVF,2024-02-12,0.061,6.63,6.63,180538,0.0
EVN,2024-02-12,0.0461,10.28,10.27,184511,0.21691973969630773
EVV,2024-02-12,0.0801,9.92,9.86,368925,0.7490636704119912
FATBP,2024-02-08,0.171875,14.97,14.75,4917,1.2800000000000038
FBK,2024-02-12,0.17,36.49,36.35,117612,0.8235294117647092
FCBC,2024-02-08,0.29,32.74,32.6,18258,0.4827586206896572
FCEF,2024-02-13,0.12,20.1829,19.845,5241,2.8158333333333436
FCF,2024-02-08,0.125,13.19,13.03,355882,1.2800000000000011
FCFS,2024-02-13,0.35,119.01,116.72,291169,6.542857142857161
FIBK,2024-02-08,0.47,25.77,25.0,1022857,1.6382978723404247
FNWB,2024-02-08,0.07,13.19,13.01,57917,2.571428571428567
FOF,2024-02-13,0.087,11.48,11.3,45233,2.0689655172413763
FRBA,2024-02-08,0.06,13.32,13.25,43963,1.1666666666666714
FRST,2024-02-08,0.1,12.27,12.34,88274,-0.7000000000000028
FSK,2024-02-13,0.05,20.21,19.99,1565637,4.400000000000048
FXED,2024-02-13,0.04,18.325,18.31,16974,0.3750000000000142
GABC,2024-02-08,0.27,31.7,31.46,71358,0.8888888888888831
GDV,2024-02-13,0.11,22.22,21.96,182403,2.3636363636363455
GGN,2024-02-13,0.03,3.76,3.73,680483,0.9999999999999936
GJS,2024-02-13,0.131125003,22.22,22.2434,511,-0.17845566798577925
GLU,2024-02-13,0.1,13.395,13.18,11542,2.1499999999999986
GNT,2024-02-13,0.03,4.95,4.8793,94098,2.356666666666681
GOLY,2024-02-13,0.057984,19.84,19.44,3292,6.89845474613684
GROW,2024-02-09,0.0075,2.76,2.772,131548,-1.6000000000000014
GUT,2024-02-13,0.05,5.48,5.4,129155,1.6000000000000014
GWW,2024-02-09,1.86,949.93,949.14,234099,0.42473118279567934
HDLB,2024-02-09,0.14300000000000002,11.0104,10.7815,1313,1.600699300699309
HMNF,2024-02-12,0.08,21.1,21.24,1207,-1.7499999999999627
HNDL,2024-02-13,0.1217,20.86,20.58,143027,2.300739523418251
HOMB,2024-02-13,0.18,24.0,23.1,1540485,4.999999999999992
HOMZ,2024-02-13,0.075,41.8713,40.51,2290,18.150666666666666
HOPE,2024-02-08,0.14,10.63,10.43,633694,1.4285714285714362
HP,2024-02-12,0.25,38.06,37.8,1519419,1.0400000000000205
HP,2024-02-12,0.17,38.06,37.8,1519419,1.5294117647059124
HPF,2024-02-09,0.1235,16.19,16.04,15157,1.2145748987854423
HPI,2024-02-09,0.1235,16.25,16.15,24872,0.8097165991902949
HPS,2024-02-09,0.11,14.84,14.73,29487,0.9999999999999948
HTD,2024-02-09,0.138,18.85,18.81,63378,0.28985507246378767
HTH,2024-02-09,0.17,30.66,30.65,304905,0.0588235294117739
HTLF,2024-02-09,0.3,33.28,33.12,173301,0.5333333333333456
HWM,2024-02-08,0.05,59.09,59.15,2101884,-1.1999999999999034
HXL,2024-02-08,0.15,70.43,70.24,951916,1.2666666666667463
IBM,2024-02-08,1.66,183.74,182.63,4830433,0.6686746987951889
JBHT,2024-02-08,0.43,214.18,212.53,738043,3.837209302325595
JHG,2024-02-09,0.39,30.57,30.2,844008,0.9487179487179512
JOJO,2024-02-09,0.0735,14.73,14.665,123,0.884353741496616
KMT,2024-02-12,0.2,24.58,24.51,964671,0.34999999999998366
KVUE,2024-02-13,0.2,19.59,19.4,16540265,0.9500000000000064
LARK,2024-02-13,0.21,20.32,19.29,2928,4.90476190476191
LAZ,2024-02-09,0.5,39.05,38.3,621333,1.5
LDP,2024-02-13,0.131,19.48,19.3,116407,1.3740458015267154
LEO,2024-02-13,0.019,6.06,6.0,230826,3.157894736842085
LGI,2024-02-12,0.10459,15.83,15.76,60636,0.6692800458934915
LSTR,2024-02-09,0.33,190.51,190.41,256715,0.3030303030302858
LVHD,2024-02-08,0.137931,34.84,34.66,174964,1.305000326250131
MCBC,2024-02-12,0.09,10.1,10.03,81203,0.777777777777781
MCR,2024-02-13,0.04588,6.43,6.38,70219,1.0897994768962473
MFM,2024-02-13,0.0195,5.31,5.24,118599,3.589743589743559
MFV,2024-02-13,0.03671,4.16,4.12,25319,1.08962135657859
MGF,2024-02-13,0.02032,3.19,3.1899,45114,0.004921259842508215
MIN,2024-02-13,0.02055,2.77,2.74,186504,1.4598540145985308
MKTX,2024-02-13,0.74,226.69,222.75,643803,5.324324324324321
MMT,2024-02-13,0.03371,4.65,4.61,62778,1.1865915158706626
MODL,2024-02-09,0.011938,34.42,34.44,15970,-1.675322499580836
MPB,2024-02-08,0.2,20.34,20.28,10403,0.2999999999999936
MPX,2024-02-08,0.14,10.65,10.5,32049,1.0714285714285738
MRBK,2024-02-09,0.125,9.88,9.01,24431,6.960000000000008
MVRL,2024-02-09,0.0845,16.5593,16.59,3785,-0.3633136094674497
MWA,2024-02-08,0.064,13.75,13.73,941802,0.31249999999999334
NBN,2024-02-09,0.01,53.06,53.44,7683,-37.999999999999545
NCV,2024-02-09,0.034,3.34,3.31,229167,0.8823529411764648
NCZ,2024-02-09,0.03,2.92,2.9,151157,0.6666666666666673
NMM,2024-02-09,0.05,28.5,28.39,108880,2.1999999999999886
NOMD,2024-02-08,0.15,17.43,17.38,664836,0.3333333333333381
NXST,2024-02-08,1.69,159.31,158.13,567448,0.6982248520710099
NYCB,2024-02-13,0.05,4.89,4.66,36235757,4.599999999999991
OPY,2024-02-08,0.15,38.56,38.53,34296,0.2000000000000076
PAXS,2024-02-09,0.1494,14.9,14.75,126056,1.0040160642570304
PAYX,2024-02-12,0.89,123.03,122.12,2237354,1.0224719101123556
PBI,2024-02-08,0.05,3.89,3.86,1039409,0.600000000000005
PCB,2024-02-08,0.18,16.03,15.81,9399,1.2222222222222259
PCK,2024-02-09,0.0215,5.8,5.82,78761,-0.9302325581395564
PCM,2024-02-09,0.08,8.48,8.32,34130,2.0000000000000018
PCN,2024-02-09,0.1125,13.39,13.28,164460,0.9777777777777885
PCQ,2024-02-09,0.036,9.48,9.45,76810,0.833333333333365
PDI,2024-02-09,0.2205,19.33,19.11,1622350,0.9977324263038497
PDO,2024-02-09,0.1279,13.14,13.02,421869,0.9382329945269818
PDT,2024-02-09,0.0825,10.9,10.82,86130,0.9696969696969705
PEO,2024-02-08,0.1,20.62,20.53,41251,0.8999999999999986
PFC,2024-02-08,0.31,19.78,19.47,116259,1.0000000000000073
PFFL,2024-02-09,0.0489,10.1658,10.11,24021,1.1411042944785563
PFL,2024-02-09,0.0814,8.46,8.4,91501,0.7371007371007432
PFN,2024-02-09,0.0718,7.54,7.47,372693,0.9749303621169956
PFS,2024-02-08,0.24,15.33,15.05,590858,1.166666666666664
PFSI,2024-02-12,0.2,91.21,91.29,250893,-0.40000000000006253
PGP,2024-02-09,0.069,7.41,7.37,65781,0.5797101449275367
PGZ,2024-02-13,0.105,10.35,10.12,26893,2.1904761904761947
PH,2024-02-08,1.48,514.22,512.82,474511,0.9459459459459306
PHK,2024-02-09,0.048,4.99,4.96,360505,0.6250000000000052
PKOH,2024-02-08,0.125,23.87,23.92,18213,-0.4000000000000057
PMF,2024-02-09,0.042,9.49,9.49,14835,0.0
PML,2024-02-09,0.0395,8.55,8.48,183082,1.7721518987341844
PMX,2024-02-09,0.033,7.56,7.51,63721,1.5151515151515096
PNF,2024-02-09,0.0335,8.27,8.28,59488,-0.2985074626865608
PNI,2024-02-09,0.0295,7.6,7.59,44986,0.3389830508474504
POWL,2024-02-13,0.265,152.71,148.77,309692,14.867924528301877
PPBI,2024-02-08,0.33,24.22,23.78,489535,1.3333333333333264
PSF,2024-02-13,0.126,19.48,19.28,32494,1.5873015873015817
PTA,2024-02-13,0.134,18.95,18.65,179274,2.238805970149259
PTY,2024-02-09,0.1188,14.1,13.97,493828,1.0942760942760859
PXSAP,2024-02-12,0.1615,24.5001,24.65,2912,-0.9281733746129958
PYN,2024-02-09,0.0248,5.91,5.84,3567,2.822580645161302
PZC,2024-02-09,0.0295,7.49,7.48,32348,0.3389830508474504
PZZA,2024-02-09,0.46,73.66,73.43,584483,0.49999999999997774
QQQN,2024-02-09,0.003382,27.78,27.89,3599,-32.52513305736234
RBA,2024-02-08,0.27,67.46,66.97,912125,1.8148148148147958
RCS,2024-02-09,0.051,6.2,6.1,171149,1.9607843137255008
RELL,2024-02-08,0.06,9.3,9.29,105940,0.16666666666669272
RES,2024-02-08,0.04,7.05,7.03,1529398,0.49999999999998934
REVG,2024-02-08,3.0,19.55,16.54,616081,1.0033333333333339
RFI,2024-02-13,0.08,11.9,11.68,94596,2.750000000000008
